address,size,rent,personer,dagar,time,url
Professorsslingan 51 / 1001,48,10 881,8,433,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=472f384b38636c69354169556b62744e722f462f36744f4f5a67746c434f7470
Röntgenvägen 1 / 1511,42,5 473,10,477,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=46765965717066332f564f796f467355736e583571492f6353756a38397a7271
Emmylundsvägen 5 / 1212,36,6 802,11,1192,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4558723659554256455564724944384c38593172676f5175385964584c534436
Gustav III:s Boulevard 4 / 1601,26,5 720,10,972,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=335255613376373141497159667054432f773962774d3974506a756a75483954
Forskarbacken 17 / 1104,18,3 720,16,422,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=34382f6461622b4e37553564787a35474f6d696d7071496a674b446f77794f52
Forskarbacken 19 / 1106,18,3 714,18,433,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6e4a46494c324d4c5a69652b71594f53574c4a75734c75696a7274425a30524d
Studentbacken 25 / 1615,17,4 154,9,115,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=7774576f73553975716a703259536d76386a662f34434249544a306432514a45
Körsbärsvägen 4 A / 1317,20,4 239,13,427,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4d42663250475035594c3350432f6f71714c6d7847495433595971384142484c
Professorsslingan 10 / 1309,24,5 550,12,617,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6f56744859367057582f346352564f3059366871565132344e7947446e6b5443
Forskarbacken  7 / 1005,18,3 910,12,128,2022-11-02 15:21,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6537417272452b3366507979786b53457a4b6c7166512b3275424748384d5272
Armégatan 32 A / 1415,36,4 564,8,679,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=556c673846657a4661556c7554743557515974547a5350637174456d48555379
Emmylundsvägen 3 / 1805,18,3 496,9,150,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4d612b344537643369655659704c4943666e322f48554f526e4a6d4a42426e6d
Studentbacken 21 / 1206,17,3 962,13,115,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4271584c356771737a6c56454e353647414f557a3876727a784c4639414b4d2f
Studentbacken 21 / 1317,41,6 321,19,1201,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=77516c514478316c436d4d434b6e6c56563564356a766346793652367345704f
Körsbärsvägen 4 B / 1317,18,4 095,15,427,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=6444573444554244484357395735796f503156637a462f426c4c53326d676769
Körsbärsvägen 4 C / 1311,18,3 918,13,288,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4a666e5a4f692f49735353556b693937694774615a68635943715847494c6f72
Körsbärsvägen 9 / 1604,36,6 495,12,895,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=743553424466713365356648616c30305a6e3354586d43793848737a7150396a
Edinsvägen 22 B / 1109,17,3 246,7,625,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=426b4e4a77596e337a47554c75784b34394430465a4d58727438513141737778
Röntgenvägen 1 / 2316,62,7 080,13,835,2022-11-02 15:22,https://sssb.se/soka-bostad/sok-ledigt/lediga-bostader/lagenhet/?refid=4a715268545943716c69347363595a4e3376533830646157503342674f674843
